m,n,R,s,seed,ker_dim,s_val,decomp_error,w
3,10,16,15,0,15,0.006232435401466302,1.2204254316506693e-12,2.220446049250313e-16
3,10,16,16,0,16,0.006379832100467517,5.82592829888734e-13,2.220446049250313e-16
2,17,16,0,0,0,0.006877633812758051,,
2,17,16,1,0,1,0.0012674464471442888,1.266326180797948e-14,0.0
2,17,16,2,0,2,0.0010660716886529687,3.1287455251858115e-14,0.0
2,17,16,3,0,3,0.0035571678865295754,2.733237651789699e-14,2.220446049250313e-16
2,17,16,4,0,4,0.0005054184075320725,1.0714892563827736e-13,1.1102230246251565e-16
2,17,16,5,0,5,0.0012810603350630635,6.586359020721892e-13,3.3306690738754696e-16
2,17,16,6,0,6,0.00782373718001215,2.9719726045861934e-14,1.1102230246251565e-16
2,17,16,7,0,7,0.0004362023751453499,2.755488648796128e-13,1.1102230246251565e-16
2,17,16,8,0,8,0.0033708243057175937,2.0640501292159748e-13,2.220446049250313e-16
2,17,16,9,0,9,0.00039365293432893223,6.165157361340215e-12,2.220446049250313e-16
2,17,16,10,0,10,0.0020030042200639498,2.9471180983723205e-13,2.220446049250313e-16
2,17,16,11,0,11,0.0004824700479955322,1.691612914938934e-11,0.0
2,17,16,12,0,12,3.174799647671757e-05,3.141293957125728e-12,1.1102230246251565e-16
2,17,16,13,0,13,0.0012466526115838673,3.524283601854135e-13,1.1102230246251565e-16
2,17,16,14,0,14,0.0022225550644538812,2.643997523690192e-13,3.3306690738754696e-16
2,17,16,15,0,15,0.0020661690113140735,6.299811852492489e-13,2.220446049250313e-16
2,17,16,16,0,16,0.0008869991292666244,1.4358993018110237e-12,3.3306690738754696e-16
2,17,17,17,0,17,2.2084467449231006e-05,2.045577649257013e-11,2.220446049250313e-16
5,6,16,0,0,0,0.013852621944933979,,
5,6,16,1,0,1,0.026355856185128146,1.88863446630988e-15,2.220446049250313e-16
5,6,16,2,0,2,0.02109585508191397,7.441393946944425e-15,1.1102230246251565e-16
5,6,17,3,0,3,0.00043137869663610005,5.719639315263412e-13,3.3306690738754696e-16
5,6,17,4,0,4,0.0023446991979034324,1.6077385980108227e-12,0.0
5,6,17,5,0,5,0.0013042644265893193,2.6134965178209626e-12,2.220446049250313e-16
5,6,17,6,0,6,0.004735184871920287,4.090705146266545e-13,4.440892098500626e-16
5,6,17,7,0,7,0.007576668151609922,8.697732446562543e-14,0.0
5,6,17,8,0,8,0.005360107184670455,2.200604436930521e-13,3.3306690738754696e-16
5,6,17,9,0,9,0.01283362381988482,7.30201554550176e-14,1.1102230246251565e-16
5,6,17,10,0,10,0.010033786632272312,2.0098228350056498e-13,1.1102230246251565e-16
5,6,17,11,0,11,0.005999677098335648,3.3041177991410106e-13,2.220446049250313e-16
